"","Timestamp","NetID or email","DOI","Code_Success","Program_Run_Clean","Directory_Change","Code_Changes","Output_Accuracy","Discrepancy_Location","X10","X11","Software_Extensions","Software_Version","First_Replicator","Common_Issues","Overcome_Issues","Replication_Helpfulness","X18","X19","How difficult do you think the replication exercise was","Comments on difficulty","GeneralNotes","What Software did you use for the replication (including the version)","Replication_Success","Main_Issue","Data_Type","Data_Access_Type","Software_Type","Data_Type_1","Cost of data access (in approximate $)","Cost of software purchase (in approximate $)","What software did the authors use to run their programs (if specified)"
"133","6/18/2016 1:56:02","kv94","10.1257/app.5.2.86","Yes","No, I needed to make changes in the code.","Yes",NA,"No, some of the numbers are different.","(Also listed in Replication.txt)

Table 5 (5.1-5.3) could not be replicated at all-- was not able to find any output file or output in the log file which matched the table.",NA,NA,"No","DK","No","Yes","Yes","We substantially differed. I was able to get the figure to run, but had a hard time finding anything for table 5 . Previous replicator stopped at table 1. The code I ran never halted either.","Complete. Provided all information required to run the programs.","Readme was complete, but the organization of the output could still be improved. It was really difficult to match the values of the tables with the log and text files, and it was unclear which log file the authors were referring to when explaining how to replicate the article.",3,"Interrupted replication exercise due to CISER access being temporarily disabled (end of Spring Semester scheduled account downtime), and then again when CISER was down last week. Article took a really long time to take a look over.",NA,"Stata 14.1","Partial",NA,NA,NA,"Stata","txt, Stata",NA,NA,NA
"134","6/25/2016 13:14:32","kv94","10.1257/app.4.4.32","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Could not figure out how the preserve/restore while loop worked when trying to debug. Had to comment it out. 

Also readme instructed replicator to change parameters starting on line 42 to reproduce specific tables/charts/figures. 

In the end, could not reproduce any figure except 1, and most tables.","No, some of the numbers are different.","Tables that were replicated matched perfectly.

Other tables/figures could not be replicated at all.",NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","Explain more carefully how the columns of each table are computed, and from what combination of values of parameters in lines 42+ they are able to be constructed.",4,"Took a really long time to replicate since the author instructed replicator to change parameters in the main do file to reproduce certain figures. Extra time also needed since each program run created three (sometimes four) text files.

Took a while to (unsuccessfully) debug the preserve/restore while loop at the end of the code. 
","Some of the output, like summary stats, did not seem to match any of the contents of the article.","Stata 14.1","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"135","6/28/2016 17:32:58","ndk36","10.1257/app.4.1.30",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","None. Missing data was the main, and ostensibly only, major barrier to replication.",5,NA,NA,"Stata 14","No","Confidential Data","private, other","formal access","Stata","none",NA,NA,NA
"136","6/28/2016 17:43:58","ndk36","10.1257/app.4.4.254",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","The lack of provided data is the main barrier to replication.",5,NA,"From the readme file:

""The primary data used in this analysis are transcript-level student data from the University of Oregon. The data are not publicly available as they contain sensitive information on student outcomes. For data requests contact the University of Oregon Office of Institutional Research.""","Stata 14","No","Confidential Data","private, other","formal access","Stata","none",NA,NA,NA
"137","7/1/2016 19:14:57","mdk228","10.1257/app.4.3.43","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Had to comment out undefined variable 'outreg2'.","No, some of the numbers are different.","Table 2, columns 3-5, not all coefficients
Table 3, columns 1-2 and 8, not all coefficients
Table 4, columns 4 and 7, not all coefficients
Table 5, columns 4-6, not all coefficients
Table 6, columns 2 and 6, not all coefficients
 
",NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,"Still getting used to replicating.","NA.","Stata 13.1","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"138","7/6/2016 9:44:23","ndk36","10.1257/app.4.3.116","Yes","No, I needed to make changes in the code.","Yes","I needed to create a use statement directing the program to the paper's main data set.","No, some of the numbers are different.","Table 3 did not appear to match. Additionally, there was no code to generate Tables 1 and 2.",NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","The author could have cleaned the Stata output for warnings and broken prints during runtime. Additionally, many of the regressions could have been better labeled; it was often difficult to tell which regressions corresponded with which tables.",4,"The regressions associated with Table 3 appeared to differ entirely from the published figures. Tables 1 and 2 lacked code entirely.","The Stata output was very cluttered with warning messages, often related to perfect co-linearity and matrix singularity.","Stata 14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"139","7/6/2016 10:38:11","ndk36","10.1257/app.4.4.57",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","The readme looked quite complete; the missing data was the main reason progress could not be made.",5,"The data, compiled by the government of Portugal, was confidential and therefore not attached with the paper.","The data set could be requested from the Portuguese Ministry of Employment's Department of Statistics, at the following address:

Ministry of Employment
Department of Statistics
Rua Rodrigo da Fonseca, 55
1250 Lisboa
Portugal
dados@gep.mtss.gov.pt
","Stata 14","No","Confidential Data","administrative, national","formal access","Stata, SAS","No data set provided",NA,NA,NA
"140","7/6/2016 17:23:43","mdk228","10.1257/app.4.2.219",NA,NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","More clear documentation (which variables were being used in a regression, for instance) would have made things easier.",4,"The data set described was not available.","""Type of data"" was determined by path names shown in the programs, not any actual data sets provided.",NA,"No","Confidential Data","administrative, local","no information","Stata","Stata",NA,NA,NA
"141","7/11/2016 17:48:21","mdk228","10.1257/app.1.3.135","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","set matsize 4000' was changed to 'set matsize 800'; else errors would occur.","No, some of the numbers are different.","All tables had discrepancies; most columns appeared to have discrepancies. It was somewhat difficult to tell because the files were poorly labeled.",NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","Some of the comments/documentation were/was incorrect. They all referred to tables in the working paper, many of which no longer existed and a few of which had columns switched. This made it difficult to determine what information was being referred to.",5,"The labeling was incorrect and the names of the variables were somewhat obscure.",NA,"Stata 13.1","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"142","7/12/2016 10:16:27","kv94","10.1257/app.4.4.194","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Some things had to be commented out for code to work. Some file extensions needed to be changed to make output viewable.","Yes","Note that last 2 figures were not generated by the programs provided.",NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Maybe it would have been better if the daily data folder was segmented in terms of analyses present in the paper and those that are not in the paper.This is because the do file took a long time to run, but not all the output provided was actually used in the paper. 

Specifying which folder contains which figure in the readme would have also been helpful. 

",3,NA,"Very time consuming replication, because of the # of programs and files to keep track of.","Stata 14.1","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"143","7/13/2016 21:19:35","ndk36","10.1257/app.4.1.85","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","In addition to changes to the directories, I also had to comment out lines referencing log files.","No, some of the numbers are different.","The standard error estimates were often different than their published values throughout the paper. There were also numerous small differences, usually of two degrees magnitudes smaller than the estimate. Possibly due to rounding/truncation, or perhaps missing observations.

More notable discrepancies occurred in Tables 2, 9, and 10. Code for Table 6 was entirely absent.",NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Most of the tables were in one .do file, which significantly assisted replication; furthermore, the code was, for the most part, well-documented. However, more comments describing a greater number of the paper's many regressions would have been helpful.",5,"The code did not run out-of-the-box, and instead required several directory changes. Furthermore, several lines had to be commented out (usually referencing log files) for the program to be operable. Additionally, many of the values were similar to their published values, but not precisely the same, for inexplicable reasons. This required some level of subjective discretion on the part of the replicator in judging whether, indeed, the calculation had been successfully replicated or not. Some data appeared to be confidential, or otherwise not included with the paper, and was only available by request from the author.",NA,"Stata 14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"144","7/14/2016 8:15:58","kv94","10.1257/app.4.2.168",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","-Can't replicate due to confidential data.",3,NA,NA,"Stata 14.1","No","Confidential Data","administrative, national","formal access","Stata","Not provided",NA,NA,NA
"145","7/15/2016 15:30:46","mdk228","10.1257/app.4.3.90","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","I installed packages ivreg2, ranktest, xtivreg2.","No, some of the numbers are different.","The output for Table 3, columns 4-8, all variables, did not match the numbers in the paper.",NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Table 3 columns 5-8 should have been correctly labeled.",3,NA,NA,"13.1","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"146","7/19/2016 13:41:15","mdk228","10.1257/app.4.3.28","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Commented out directory change (all files needed found in same directory).

Variable rcvanhelo not found in dataset--removed.

Added command 'balancing_test_a' and 'balancing_test_b'.
","No, some of the numbers are different.","Table 2, 'both parents alive', all columns, not replicated--associated with variable 'rcvanhelo', which was not available.",NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,NA,NA,"Stata 13.1","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"147","7/19/2016 16:20:10","ndk36","10.1257/app.4.4.94","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","In addition to creating globals and changing the paths, I had to comment out many outreg statements in the code, as they broke the program when run.","No, some of the numbers are different.","I had problems replicating the values in Table 6, Panel A and B in the main paper. Additionally, I couldn't replicate parts of Table A3 in the online appendix (no functional code) and any of Table A6 (confidential data).",NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,"Stata 14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"148","7/20/2016 9:29:05","mdk228","10.1257/app.4.3.225",NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","A better formatted readme with descriptions of the programs.",5,"Data was not available","Data available through IPUMS","Stata 13.1","No","Missing dataset (publically available)","administrative, national","informal access, no commitment","Stata","Stata",NA,NA,NA
"149","7/20/2016 19:37:02","ndk36","10.1257/app.4.4.140","Yes","Yes, no changes were necessary.",NA,NA,"Yes","Table 5, Panel A, Column 4 and Panel B, Columns 2 and 4 had very small p-value discrepancies in their F-tests. However, these published differences from output were very small.",NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,"Variables were well-named, the programs were well-documented, and no changes to the code were required. Replication was easier than expected.","Straightforward and successful replication.","Stata 14","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"150","7/26/2016 16:51:39","ndk36","10.1257/app.1.1.164",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","Although there was a readme file detailing a sequence in which the programs could be run, the code largely lacked comments. Additionally, although the readme provided links through which one could request data, the data used in the paper was confidential, and hence not available with the paper.",5,NA,"Data could be requested, but may require working on an on-site location at the Research Data Center at the National Center for Health Statistics in Hyattsville, MD.","Stata 14","No","Confidential Data","administrative, national","formal access","Stata, SAS","none",NA,NA,NA
"151","8/3/2016 10:34:24","qy62","10.1257/app.4.2.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,NA,"broken link; unable to find the data","Stata SE 13.1","No","broken link missing data","administrative, national","no information","Stata, Matlab","Stata, Matlab",NA,NA,NA
"152","8/3/2016 14:28:08","ndk36","10.1257/app.1.4.109",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","It was not initially unclear which data files were missing, thereby making the programs unable to run. Additionally, it was not clear which programs needed to be manually run and which ones were called by other programs. The order in which programs needed to be executed was also ambiguous.",5,"After a deeper reading of the readme, it became clear that data confidentiality affected all of the tables, not just a small selection of them, thereby making replication with the provided files impossible.",NA,"Stata 13.1","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"153","8/7/2016 19:00:34","yg93","10.1257/app.1.3.33",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"stata14","No","Confidential Data","administrative, regional","formal access","Stata","Stata",NA,NA,NA
"154","8/7/2016 19:38:34","yg93","10.1257/app.1.3.59",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,1,NA,NA,"Stata14","No","Confidential Data","private, commercial entity","formal access","Stata","Stata",NA,NA,NA
"155","8/7/2016 19:46:02","yg93","10.1257/app.1.3.97",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,1,NA,NA,"Stata14
","No","Confidential Data","administrative, national","formal access","Stata","SAS, SPSS",NA,NA,NA
"156","8/9/2016 16:01:53","ndk36","10.1257/app.1.1.219",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","A main file that called all the smaller table-generating scripts could have made the replication more convenient. Contact information to assist in the procurement of the confidential data may have been beneficial as well.",5,NA,NA,"Stata 14","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"157","8/9/2016 16:32:37","ndk36","10.1257/app.1.4.34","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Some of the Stata output was out-of-order, which made matching generated estimates to the published figures slightly more time-consuming. This was a very minor issue, however.",2,NA,"I encountered some problems running the bootstraps used to generate several of the figures in the paper; the Monte Carlo simulations take a long time to run.","Stata 14","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"158","8/9/2016 23:20:50","mdk228","10.1257/app.1.1.136","Yes","No, I needed to make changes in the code.","Yes",NA,"No, some of the numbers are different.","Table 7, all panels, all columns except the first. Table 5, panel B, columns 4 and 5.",NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,"Computationally intensive.","Failure to replicate results probably due to boostrap methods; no seed provided in programs.","Stata 13.1","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"159","8/10/2016 5:29:34","kv94","10.1257/app.4.1.193",NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Should have made a separate do file to generate temp_desc.dta, since the entire subsequent analysis depends on it.",3,NA,"Could not replicate due to incorrect use of indicator variable function. Did not understand what the author was trying to achieve due to lack of comments in the code, and therefore could not come up with alternate way to generate temp_desc.dta.","Stata 14.1","No","Code Error","private, other","no information","Stata","Stata",NA,NA,NA
"160","8/10/2016 9:55:06","yg93","10.1257/app.1.2.1","No","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"Yes",NA,NA,NA,"No","DK","No","No","N/A. The previous replicator had no issues.","The previous replicator provides no comment","Incomplete. Was ambiguous or left out crucial steps.",NA,3,NA,NA,"Stata14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"161","8/10/2016 10:30:31","ndk36","10.1257/app.1.1.49",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"The confidential data inhibited the replication of all of the tables, not just some of them.",NA,"Stata 14","No","Confidential Data","administrative, regional","formal access","Stata","Stata",NA,NA,NA
"162","8/13/2016 22:06:43","yg93","10.1257/app.1.4.140","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","1. delete all “;” in AEJApp-2008-0158_Tables.do file in AEJApp-2008-0158_Tables.do

2. comment out outreg commands, because error occurs otherwise in AEJApp-2008-0158_Tables.do

3. change “analysis_sample_dhs_2004.dta” into “analysis_sample_tdhs_2004.dta” in AEJApp-2008-0158_Tables.do
The file with the first name does not exist
","Yes",NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","Verify the name of the data file in the do file",4,NA,NA,"Stata14
","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"163","8/13/2016 22:18:59","yg93","10.1257/app.1.2.88",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,NA,NA,"Stata14

The author uses stata 9.2
","No","Confidential Data","private, commercial entity","formal access","Stata","Stata",NA,NA,NA
"164","10/6/2016 22:02:08","jqw6","10.1257/app.4.1.49",NA,NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"stata12","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"165","10/6/2016 22:09:15","kv94","10.1257/app.4.1.109",NA,NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"stata12","No","Confidential Data","administrative, regional","informal access, commitment","Stata","Stata",NA,NA,NA
"166","10/6/2016 22:31:20","yg93","10.1257/app.4.3.1",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,1,NA,NA,"stata14","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"167","10/6/2016 22:40:39","yg93","10.1257/app.4.2.199",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,1,NA,NA,"stata14","No","Confidential Data","administrative, regional","formal access","Stata","Stata",NA,NA,NA
"168","10/6/2016 22:58:49","qy62","10.1257/app.4.2.274",NA,NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"stata12","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"169","10/6/2016 23:10:56","yg93","10.1257/app.4.3.138","No","No, I needed to make changes in the code.","No, the changes to the code were more involved.","In attempt to debug yearly_gis_simple_finals: I have to first change the Great_circle_distance function to distance function, than manually add ols command from https://www.mathworks.com/matlabcentral/fileexchange/32601-toolkit-on-econometrics-and-economics-teaching/content/EconToolkit/micro/OLSv1/OLS.m
The program still reports a singular matrix error","Yes",NA,NA,NA,"No","No","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,5,NA,"The output xls files should be labeled with information summarized in a separate file.","Matlab2016b","Partial",NA,NA,NA,"Stata, Matlab","txt, Matlab",NA,NA,NA
"170","10/6/2016 23:13:55","yg93","10.1257/app.4.3.167","Yes","No, I needed to make changes in the code.","Yes","When the program generate the dataset for the first time, I have to manually delete the ""replace"" option.",NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","list the generated figures or table in order. The long dofile makes it extremely hard to keep track of the figures or tables generated.",5,NA,"The biggest challenge of the replication is the size of the dataset, as large as 800 MB. It takes about 12 hours to only run all three dofiles. Together with the troubleshooting process, the replication process takes even more time. 

As a result, I am unable to replication table 6, 5, A6, and A9. Also, I notice that the first row of figure1 does not comply with the figure in the paper. The author does not specify his treatment on this outlier.","stata14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"171","11/1/2016 16:03:51","sh2258","10.1257/app.1.1.22",NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"Stata 12","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"172","11/1/2016 16:03:51","sh2258","10.1257/app.1.1.22",NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"Stata 12","No","Confidential Data","administrative, national","formal access","Stata","Stata",NA,NA,NA
"173","11/1/2016 16:42:04","sh2258","10.1257/app.1.3.1","Yes","No, I needed to make changes in the code.","Yes",NA,"No, some of the numbers are different.",NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,NA,NA,"Stata 12","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"174","11/1/2016 16:42:04","sh2258","10.1257/app.1.3.1","Yes","No, I needed to make changes in the code.","Yes",NA,"No, some of the numbers are different.",NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,NA,NA,"Stata 12","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"175","11/1/2016 22:19:51","yg93","10.1257/app.1.2.53",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"no code provided","No","Missing Code","administrative, national","no information","no code provided","Excel",NA,NA,NA
"176","11/1/2016 23:04:58","mdk228","10.1257/app.1.2.35","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"Yes","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"stata 12","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"177","3/8/2017 19:15:56","lv39","10.1257/app.1.4.1","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Identify the relevant packages that needed to be installed.",1,NA,NA,"Stata 14","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"178","3/10/2017 18:36:47","mh975","10.1257/app.2.4.150","No","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"No","Yes","No","Yes","No","They were not particularly helpful, but that was more a function of the paper being fairly straightforward to replicate.","Complete. Provided all information required to run the programs.",NA,1,"I thought I might have to tweak the Stata code more, but that turned out to not be the case.","The main do-file was very simple to execute.  However, there are two additional SAS programs used to generate some tables for which the underlying data -- because they are publicly available -- were not provided.  I was unable to procure those data and therefore could not run the SAS programs.","Stata/SE 13.1","Partial",NA,NA,NA,"Stata, SAS","Stata",NA,NA,NA
"179","3/10/2017 21:23:53","mh975","10.1257/app.1.2.35","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Needed to replace outreg with outreg2.","Yes",NA,NA,NA,"Yes","DK","No","Yes","Yes","The previous replicator's notes helped me debug an error in the program.","Complete. Provided all information required to run the programs.",NA,1,NA,NA,"Stata/SE 13.1","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"180","3/14/2017 6:32:11","sas648","10.1257/app.3.4.215","No","No, I needed to make changes in the code.","Yes","I needed to change the GMM function but I was not able to figure out how to do this successfully","No, some of the numbers are different.","In table 1 the standard errors are a little off for column 2, rainfall t-1 (.071 instead of .078, robust se are .078 not .086).  In table 2, column 1, rainfall t is a little off (.024 not .025). In table 4, column 4 rainfall t-2 is (.27 not .26).",NA,NA,"No","DK","No","Yes","No","The previous replicator did a really good job of finding the relevant regressions which was helpful to me.  We both had the same problem which was that the GMM code did not work.  I was not able to figure this out.","Complete. Provided all information required to run the programs.","They could have labeled the regressions better.  It was difficult to find which ones I was supposed to use.",3,"The code appeared to be labeled well but it was not.",NA,"Stata 14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"181","3/14/2017 13:51:17","sas648","10.1257/app.1.3.1","Yes","No, I needed to make changes in the code.","Yes",NA,"No, some of the numbers are different.","Column 3 in Table 3 had numbers which were slightly different, aside from that there were many other regressions that were similar, but not quite the same so it was difficult to know if they were the correct regressions or not.",NA,NA,"No","DK","No","Yes","No","The other replicator was able to replicate more tables than me.  I don't know why.","Complete. Provided all information required to run the programs.","The authors could have labeled the do file much better.  I had to guess where all the regressions were.",4,"I thought the do file was labeled well, but it was not.",NA,"Stata 14","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"182","3/20/2017 10:12:19","wns32","10.1257/app.5.3.41","No","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Attempted loading different version of stata which solved one problem but not the outreg issue","Yes",NA,NA,NA,"Yes","Yes","No","Yes","No",NA,"Incomplete. Was ambiguous or left out crucial steps.","Authors could have specified which packages needed to be loaded for programs to run correctly.",3,NA,NA,"Stata 13","Partial",NA,NA,NA,"Stata","Stata",NA,NA,NA
"183","3/20/2017 10:16:44","wns32","10.1257",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No","Useful advice regarding config.do","Incomplete. Was ambiguous or left out crucial steps.","I think the authors should have provided runtime estimates",3,NA,NA,"Stata 13","No","Code Error",NA,NA,"Stata","csv, Stata",NA,NA,NA
"184","4/4/2017 12:20:50","sh2258","10.1257/app.1.1.183",NA,NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,1,NA,NA,"I did not use any software - no data","No","Confidential Data","private, other","informal access, no commitment","no information","no information",NA,NA,NA
"185","4/4/2017 12:29:08","sh2258","10.1257/app.1.2.176",NA,NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"No readme file was provided.",NA,5,NA,NA,"did not use any software - none provided","No","Confidential Data","administrative, national","no information","Don't know","don't know",NA,NA,NA
"186","6/25/2017 17:28:25","yw447","10.1257/app.6.2.1","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","When I ran the original code, I cannot find the output files, so I have to comment out a portion of the code and make the output as .out files","No, some of the numbers are different.","On table 4, the section for the differences cannot be found from replication, but the results from the previous 2 sections are correct.
On table 6, the standard errors of the last four numbers on the first row are off.
On table 1, the results for last row are off",NA,NA,"Yes","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","It would be more helpful if the author provides more direction of where the output files should be found",2,NA,NA,"StataSE 14","Yes",NA,NA,NA,"Stata","Stata",NA,NA,NA
"187","6/27/2017 22:51:26","cl998","10.1257/app.6.2.49","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Need to change a ""egen"" function to ""gen"" in order to run the code.","No, some of the numbers are different.","Table 1
According to the dataset, the value associated with BRUNEI DARUSSALAM should be 1.28824% instead of 0.01%. I believe there’s an error here. All other parts are correct.

Table 2 
The line “P-value of Equality of Gender Coefficients” doesn’t match the code result.

Table 3
Can’t find the code.

Table 4
This table is generated by code in Table 3 section. the last line of the table: % of individual level observations, can’t be found in the code result. The last column: p-value for test of equality, doesn’t match the result provided by the code. Other parts are fine.

Table 5
This table is generated by code in Table 4 section. From the txt file generated by the code, all results are the same except that the “mean of dependent variable” part is not found.

Table 6
This table is generated by code in Table 5 section. For Panel A, the codes did not yield results in lines “Treatment Group” and “After”. For Panel B, the code did not yield results in line “After”. All other data are fine.",NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,"Sometimes the code indicates that the result should be Table X, but it turns out to yield Table Y. Some results in the article were not found in the code results.",NA,"Stata 14","Partial",NA,NA,NA,"Stata","csv, Stata",NA,NA,NA
"188","7/2/2017 14:26:14","yw447","10.1257/app.6.2.127",NA,NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,NA,"confidential data, hard to access","STATASE 14","No","Confidential Data","administrative, regional","formal access","Stata","SAS",NA,NA,NA
