"","Title","Assignment","Authors","Author 1","Author 2","Author 3","Author 4","Author 5","Author 6","Author 7","h_index (Author 1)","h_index (Author 2)","h_index (Author 3)","h_index (Author 4)","h_index (Author 5)","h_index (Author 6)","h_index (Author 7)","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Citations Y","Citations Y+1","Citations Y+2","Citations Y+3","worksheet"
"52","Political Parties and Labor-Market Outcomes: Evidence from US States","jjp282","Beland, Louis-Philippe","Beland, Louis-Philippe",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,198,220,NA,"10.1257/app.20120387",NA,NA,10,2.5,0,0,0,0,0,0,1,0,2,7,1,0,2,8,"CitationsSpring2019"
"53","Unintended Effects of Anonymous Resumes","jjp282","Behaghel, Luc; Crepon, Bruno; Le Barbanchon, Thomas","Behaghel, Luc","Crepon, Bruno","Le Barbanchon, Thomas",NA,NA,NA,NA,6,7,4,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,1,27,NA,"10.1257/app.20140185",NA,NA,8,2,0,0,0,0,0,0,0,2,2,4,0,2,2,4,"CitationsSpring2019"
"54","Improving College Access and Success for Low-Income Students: Evidence from a Large Need-Based Grant Program","nwl27","Fack, Gabrielle; Grenet, Julien","Fack, Gabrielle","Grenet, Julien",NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,1,34,NA,"10.1257/app.20130423",NA,NA,6,1.5,0,0,0,0,0,0,0,3,1,2,0,3,1,2,"CitationsSpring2019"
"55","Channeling Remittances to Education: A Field Experiment among Migrants from El Salvador","nwl27","Ambler, Kate; Aycinena, Diego; Yang, Dean","Ambler, Kate","Aycinena, Diego","Yang, Dean",NA,NA,NA,NA,3,3,15,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,207,232,NA,"10.1257/app.20140010",NA,NA,6,1.5,0,0,0,0,0,0,0,2,3,1,0,2,3,1,"CitationsSpring2019"
"56","Professors in Core Science Fields Are Not Always Biased against Women: Evidence from France","nwl27","Breda, Thomas; Ly, Son Thierry","Breda, Thomas","Ly, Son Thierry",NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,53,75,NA,"10.1257/app.20140022",NA,NA,4,1,0,0,0,0,0,0,0,2,1,1,0,2,1,1,"CitationsSpring2019"
"57","Checklists and Worker Behavior: A Field Experiment","nwl27","Jackson, C. Kirabo; Schneider, Henry S.","Jackson, C. Kirabo","Schneider, Henry S.",NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,136,168,NA,"10.1257/app.20140044",NA,NA,2,0.5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,"CitationsSpring2019"
"58","The Effect of Income on Religiousness","nwl27","Buser, Thomas","Buser, Thomas",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,178,195,NA,"10.1257/app.20140162",NA,NA,2,0.5,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,"CitationsSpring2019"
"59","The Rise of Fringe Competitors in the Wake of an Emerging Middle Class: An Empirical Analysis","nwl27","Eizenberg, Alon; Salvo, Alberto","Eizenberg, Alon","Salvo, Alberto",NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,85,122,NA,"10.1257/app.20130104",NA,NA,1,0.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"CitationsSpring2019"
"60","Child Gender and Parental Investments In India: Are Boys and Girls Treated Differently?","nwl27","Barcellos, Silvia Helena; Carvalho, Leandro S.; Lleras-Muney, Adriana","Barcellos, Silvia Helena","Carvalho, Leandro S.","Lleras-Muney, Adriana",NA,NA,NA,NA,4,4,11,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,157,189,NA,"10.1257/app.6.1.157",NA,NA,34,6.8,0,0,0,0,0,2,6,6,7,13,2,6,6,7,"CitationsSpring2019"
"61","Distortions in the International Migrant Labor Market: Evidence from Filipino Migration and Wage Responses to Destination Country Economic Shocks","nwl27","McKenzie, David; Theoharides, Caroline; Yang, Dean","McKenzie, David","Theoharides, Caroline","Yang, Dean",NA,NA,NA,NA,47,2,15,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,49,75,NA,"10.1257/app.6.2.49",NA,NA,26,5.2,0,0,0,0,0,1,5,6,6,8,1,5,6,6,"CitationsSpring2019"
"62","Selection and Economic Gains in the Great Migration of African Americans: New Evidence from Linked Census Data","nwl27","Collins, William J.; Wanamaker, Marianne H.","Collins, William J","Wanamaker, Marianne H.",NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,220,252,NA,"10.1257/app.6.1.220",NA,NA,22,4.4,0,0,0,0,0,1,5,1,10,5,1,5,1,10,"CitationsSpring2019"
"63","Testing Paternalism: Cash versus In-Kind Transfers","nwl27","Cunha, Jesse M.","Cunha, Jesse M.",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,195,230,NA,"10.1257/app.6.2.195",NA,NA,20,4,0,0,0,0,0,0,5,4,6,5,0,5,4,6,"CitationsSpring2019"
"64","Human Capital and Productivity in a Team Environment: Evidence from the Healthcare Sector","nwl27","Bartel, Ann P.; Beaulieu, Nancy D.; Phibbs, Ciaran S.; Stone, Patricia W.","Bartel, Ann P.","Beaulieu, Nancy D.","Phibbs, Ciaran S.","Stone, Patricia W.",NA,NA,NA,4,2,18,23,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,231,259,NA,"10.1257/app.6.2.231",NA,NA,18,3.6,0,0,0,0,0,1,6,5,1,5,1,6,5,1,"CitationsSpring2019"
"65","Competitive Effects of Means-Tested School Vouchers","nwl27","Figlio, David; Hart, Cassandra M. D.","Figlio, David","Hart, Cassandra M.D.",NA,NA,NA,NA,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,133,156,NA,"10.1257/app.6.1.133",NA,NA,16,3.2,0,0,0,0,0,0,5,4,4,3,0,5,4,4,"CitationsSpring2019"
"66","Wells, Water, and Welfare: The Impact of Access to Groundwater on Rural Poverty and Conflict","nwl27","Sekhri, Sheetal","Sekhri, Sheetal",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,76,102,NA,"10.1257/app.6.3.76",NA,NA,10,2,0,0,0,0,0,0,2,1,4,3,0,2,1,4,"CitationsSpring2019"
"67","Influenza Vaccination Campaigns: Is an Ounce of Prevention Worth a Pound of Cure?","nwl27","Ward, Courtney J.","Ward, Courtney J.",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,38,72,NA,"10.1257/app.6.1.38",NA,NA,10,2,0,0,0,0,0,1,2,2,2,3,1,2,2,3,"CitationsSpring2019"
"68","Moral Hazard and Claims Deterrence in Private Disability Insurance","nwl27","Autor, David; Duggan, Mark; Gruber, Jonathan","Autor, David","Duggan, Mark","Gruber, Jonathan",NA,NA,NA,NA,20,13,18,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,110,141,NA,"10.1257/app.6.4.110",NA,NA,7,1.4,0,0,0,0,0,0,0,2,2,3,0,0,2,2,"CitationsSpring2019"
"69","When the Floodgates Open: Northern Firms' Response to Removal of Trade Quotas on Chinese Goods","nwl27","Utar, Hale","Utar, Hale",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,226,250,NA,"10.1257/app.6.4.226",NA,NA,6,1.2,0,0,0,0,0,0,0,2,1,3,0,0,2,1,"CitationsSpring2019"
"70","Small Steps for Workers, a Giant Leap for Productivity","nwl27","Hendel, Igal; Spiegel, Yossi","Hendel, Igal","Spiegel, Yossi",NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,73,90,NA,"10.1257/app.6.1.73",NA,NA,1,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"CitationsSpring2019"
"71","Climate Change, Mortality, and Adaptation: Evidence from Annual Fluctuations in Weather in the US","nwl27","Deschenes, Olivier; Greenstone, Michael","Deschenes, Olivier","Greenstone, Michael",NA,NA,NA,NA,NA,11,19,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2011",2011,3,4,NA,NA,NA,152,185,NA,"10.1257/app.3.4.152",NA,NA,117,14.63,0,0,1,3,5,16,13,26,29,24,1,3,5,16,"CitationsSpring2019"
"72","Are Restaurants Really Supersizing America?","nwl27","Anderson, Michael L.; Matsa, David A.","Anderson, Michael L.","Matsa, David A.",NA,NA,NA,NA,NA,6,12,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2011",2011,3,1,NA,NA,NA,152,188,NA,"10.1257/app.3.1.152",NA,NA,53,6.63,0,0,2,10,5,9,9,5,9,3,2,10,5,9,"CitationsSpring2019"
"73","Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment","nwl27","Macours, Karen; Schady, Norbert; Vakis, Renos","Macours, Karen","Schady, Norbert","Vakis, Renos",NA,NA,NA,NA,9,15,7,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2012",2012,4,2,NA,NA,NA,247,273,NA,"10.1257/app.4.1.247",NA,NA,46,6.57,0,0,0,0,6,5,7,10,13,5,0,6,5,7,"CitationsSpring2019"
"74","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina","nwl27","Augsburg, Britta; De Haas, Ralph; Harmgart, Heike; Meghir, Costas","Augsburg, Britta","De Haas, Ralph","Harmgart, Heike","Meghir, Costas",NA,NA,NA,3,10,5,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,183,203,NA,"10.1257/app.20130272",NA,NA,30,7.5,0,0,0,0,0,0,7,4,10,9,NA,NA,NA,NA,"CitationsSpring2019"
"75","Social Networks and the Decision to Insure","nwl27","Cai, Jing; De Janvry, Alain; Sadoulet, Elisabeth","Cal, Jing","De Janvry, Alain","Sadoulet, Elisabeth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,81,108,NA,"10.1257/app.20130442",NA,NA,26,6.5,0,0,0,0,0,0,2,4,9,11,NA,NA,NA,NA,"CitationsSpring2019"
"76","The Judge, the Politician, and the Press: Newspaper Coverage and Criminal Sentencing across Electoral Systems","nwl27","Lim, Claire S. H.; Snyder, James M., Jr.; Stromberg, David","Lim, Claire S. H.","Snyder, James M., Jr.","Stromberg, David",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,103,135,NA,"10.1257/app.20140111",NA,NA,13,3.25,0,0,0,0,0,0,0,2,5,6,NA,NA,NA,NA,"CitationsSpring2019"
"77","The Role of Connections in Academic Promotions","nwl27","Zinovyeva, Natalia; Bagues, Manuel","Zinovyeva, Natalia","Bagues, Manuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,264,292,NA,"10.1257/app.20120337",NA,NA,13,3.25,0,0,0,0,0,0,2,3,5,3,NA,NA,NA,NA,"CitationsSpring2019"
"78","Development from Representation? A Study of Quotas for the Scheduled Castes in India","nwl27","Jensenius, Francesca Refsum","Jensenius, Francesca Refsum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,196,220,NA,"10.1257/app.20140201",NA,NA,9,2.25,0,0,0,0,0,0,0,1,3,5,NA,NA,NA,NA,"CitationsSpring2019"
"79","Should Cash Transfers Be Conditional? Conditionality, Preventive Care, and Health Outcomes","nwl27","Attanasio, Orazio P.; Oppedisano, Veruska; Vera-Hernandez, Marcos","Attanasio, Orazio P.","Oppedisano, Veruska","Vera-Hernandez, Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,35,52,NA,"10.1257/app.20130126",NA,NA,7,1.75,0,0,0,0,0,0,0,3,3,1,NA,NA,NA,NA,"CitationsSpring2019"
"80","The Girl Next Door: The Effect of Opposite Gender Friends on High School Achievement","nwl27","Hill, Andrew J.","Hill, Andrew J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,147,177,NA,"10.1257/app.20140030",NA,NA,5,1.25,0,0,0,0,0,0,1,0,3,1,NA,NA,NA,NA,"CitationsSpring2019"
"81","Racial Discrimination in Grading: Evidence from Brazil","nwl27","Botelho, Fernando; Madeira, Ricardo A.; Rangel, Marcos A.","Botelho, Fernando","Madeira, Ricardo A.","Rangel, Marcos A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,37,52,NA,"10.1257/app.20140352",NA,NA,2,0.5,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,"CitationsSpring2019"
"82","The Effect of Product Demand on Inequality: Evidence from the United States and the United Kingdom","nwl27","Leonardi, Marco","Leonardi, Marco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,221,247,NA,"10.1257/app.20130359",NA,NA,2,0.5,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,"CitationsSpring2019"
"83","Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits","nwl27","Akee, Randall K. Q.; Copeland, William E.; Keeler, Gordon; Angold, Adrian; Costello, E. Jane","Akee, Randall K. Q.","Copeland, William E.","Keeler, Gordon","Angold, Adrian","Costello, E. Jane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2010",2010,2,1,NA,NA,NA,86,115,NA,"10.1057/app.2.1.86",NA,NA,75,8.33,0,4,3,6,6,7,10,15,11,13,NA,NA,NA,NA,"CitationsSpring2019"
