"","DOI","Title","Pages","Entry Questionnaire Author","Entry Questionnaire","AER Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Access Type: restricted","Data Access Type: public","Data Access Type: Unknown","Data Comments","Data URL","Data Contact","worksheet"
"92","10.1257/aer.20151714","Information Spillovers in Asset Markets with Correlated Values",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"93","10.1257/aer.20121186","Separations, Sorting, and Cyclical Unemployment",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"94","10.1257/aer.20150154","Partner Choice, Investment in Children, and the Marital College Premium",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"95","10.1257/aer.20160788","Team Incentives and Performance: Evidence from a Retail Chain",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"96","10.1257/aer.20160080","Gender Quotas and the Crisis of the Mediocre Man: Theory and Evidence from Sweden",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"97","10.1257/aer.20151462","Full Implementation and Belief Restrictions",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"98","10.1257/aer.20160055","Multi-category Competition and Market Power: A Model of Supermarket Pricing",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"99","10.1257/aer.20140205","Stock Price Booms and Expected Capital Gains",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"100","10.1257/aer.20111196","Clearing Up the Fiscal Multiplier Morass",NA,NA,NA,"VOL. 107, NO. 8",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"101","10.1257/aer.20150243","Culture, Ethnicity, and Diversity",NA,NA,NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"102","10.1257/aer.20141685","The Margins of Global Sourcing: Theory and Evidence from US Firms",NA,NA,NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"103","10.1257/aer.20160812","Bias in Cable News: Persuasion and Polarization",NA,NA,NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"104","10.1257/aer.20151282","Why Are Indian Children So Short? The Role of Birth Order and Son Preference",NA,NA,NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"105","10.1257/aer.20150233","The Fundamental Surplus",NA,NA,NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"106","10.1257/aer.20121266","WTO Accession and Performance of Chinese Manufacturing Firms",NA,NA,NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"107","10.1257/aer.20131026","How Local Are Labor Markets? Evidence from a Spatial Job Search Model",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"108","10.1257/aer.20161214","Trade Liberalization and Regional Dynamics",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"109","10.1257/aer.20150986","Steering the Climate System: Using Inertia to Lower the Cost of Policy",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"110","10.1257/aer.20131002","Defensive Investments and the Demand for Air Quality: Evidence from the NOx Budget Program",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"111","10.1257/aer.20150755","Competing for Loyalty: The Dynamics of Rallying Support",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"112","10.1257/aer.20150343","Politician Family Networks and Electoral Outcomes: Evidence from the Philippines",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"113","10.1257/aer.2013047","Financial Intermediation, International Risk Sharing, and Reserve Currencies",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"114","10.1257/aer.20150320","New Evidence on the Aftermath of Financial Crises in Advanced Countries",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"115","10.1257/aer.20151667","The Costs of Sovereign Default: Evidence from Argentina",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"116","10.1257/aer.20151579","Search at the Margin",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"117","10.1257/aer.20141070","Exporter Dynamics and Partial-Year Effects",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"118","10.1257/aer.20160547","News Shocks and the Slope of the Term Structure of Interest Rates: Comment",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"119","10.1257/aer.20161946","News Shocks and the Slope of the Term Structure of Interest Rates: Reply",NA,NA,NA,"VOL. 107, NO. 10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"120","10.1257/aer.20151743","Discriminatory Information Disclosure",NA,NA,NA,"VOL. 107, NO. 11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"121","10.1257/aer.20151497","The Consumption Effects of the 2007–2008 Financial Crisis: Evidence from Households in Denmark",NA,NA,NA,"VOL. 107, NO. 11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"122","10.1257/aer.20121662","Gross Worker Flows over the Business Cycle",NA,NA,NA,"VOL. 107, NO. 11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
